Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Aboultaif, Ziad",Edmonton Manning,Conservative,60823.01,16478.36,394.59,18936.14
"Aitchison, Scott",Parry Sound—Muskoka,Conservative,79812.86,9568.20,0.00,26270.55
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,90673.88,15244.21,90.28,26325.99
"Alghabra, Hon. Omar",Mississauga Centre,Liberal,71977.50,10752.60,260.50,22599.19
"Alleslev, Leona",Aurora—Oak Ridges—Richmond Hill,Conservative,74212.80,12510.91,340.40,17857.93
"Allison, Dean",Niagara West,Conservative,78013.24,9238.17,0.00,23909.46
"Amos, William",Pontiac,Liberal,68592.65,3555.81,513.00,37615.49
"Anand, Hon. Anita",Oakville,Liberal,48907.55,7950.00,0.00,25080.38
"Anandasangaree, Gary",Scarborough—Rouge Park,Liberal,64075.85,17628.63,1004.84,22729.11
"Angus, Charlie",Timmins—James Bay,New Democratic Party,71542.23,9842.81,0.00,21375.73
"Arnold, Mel",North Okanagan—Shuswap,Conservative,81717.67,12163.39,260.00,33750.16
"Arseneault, René",Madawaska—Restigouche,Liberal,55250.11,8706.07,630.38,24425.15
"Arya, Chandra",Nepean,Liberal,61699.93,0.00,115.28,25867.95
"Ashton, Niki",Churchill—Keewatinook Aski,New Democratic Party,84553.64,3514.33,0.00,12223.33
"Atwin, Jenica",Fredericton,Green Party,77602.35,11374.77,0.00,5208.03
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,72012.38,12050.87,521.18,27726.74
"Badawey, Vance",Niagara Centre,Liberal,72630.72,8796.32,93.92,37868.93
"Bagnell, Hon. Larry",Yukon,Liberal,64338.13,5246.02,62.92,19314.25
"Bains, Hon. Navdeep",Mississauga—Malton,Liberal,69139.35,4272.03,0.00,11008.91
"Baker, Yvan",Etobicoke Centre,Liberal,60338.10,0.00,0.00,28383.78
"Baldinelli, Tony",Niagara Falls,Conservative,72411.57,9663.77,0.00,28479.06
"Barlow, John",Foothills,Conservative,70059.01,13466.60,74.56,26408.30
"Barrett, Michael",Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,78880.73,5754.73,9.98,27450.02
"Barsalou-Duval, Xavier",Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,56616.14,10010.18,24.30,27152.59
"Battiste, Jaime",Sydney—Victoria,Liberal,64147.93,5490.74,239.09,16424.44
